,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,diff_2022,recomm_2023,diff_2023,recomm_2024,diff_2024
104,Biberist,5.0,8.0,18.0,34.0,45.0,79.0,140.0,248.0,2.0,4.0,2.0,7.0,3.0,12.0,5.0
105,Bidogno,,,,,,,,,1.0,,,,,,
106,Biel,,,,,,,,,4.0,,,,,,
107,Biel-Benken,5.0,8.0,11.0,16.0,36.0,60.0,100.0,168.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
108,Biel/Bienne,52.0,67.0,99.0,146.0,190.0,263.0,365.0,505.0,16.0,22.0,6.0,31.0,9.0,43.0,12.0
109,Bienne,,,,,,,,,5.0,,,,,,
110,Binn,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,
111,Bioggio,13.0,18.0,25.0,44.0,62.0,92.0,137.0,203.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
112,Birmensdorf,,,,,,,,,1.0,,,,,,
113,Birmenstorf,,,,,,,,,1.0,,,,,,
114,Birsfelden,9.0,13.0,14.0,18.0,24.0,31.0,40.0,51.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
115,Bischofszell,10.0,13.0,16.0,28.0,50.0,76.0,115.0,174.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
116,Bisisthal,,,,,,,,,1.0,,,,,,
117,Bissone,5.0,4.0,4.0,6.0,8.0,9.0,11.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
118,Bitsch,0.0,0.0,2.0,3.0,8.0,,,,1.0,,,,,,
119,Bivio,,,,,,,,,2.0,,,,,,
120,Bivio - Surses,,,,,,,,,1.0,,,,,,
121,Bière,0.0,0.0,1.0,2.0,7.0,,,,1.0,,,,,,
122,Blatten bei Naters,,,,,,,,,2.0,,,,,,
123,Blaustein,,,,,,,,,1.0,,,,,,
124,Blonay,13.0,24.0,40.0,59.0,96.0,159.0,263.0,434.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
125,Bolligen,5.0,8.0,17.0,26.0,41.0,70.0,120.0,204.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
126,Bonstetten,18.0,21.0,29.0,37.0,70.0,100.0,143.0,204.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
127,Bosco-Gurin,,,,,,,,,1.0,,,,,,
128,Bossonnens,3.0,8.0,12.0,17.0,23.0,40.0,69.0,120.0,2.0,3.0,1.0,5.0,2.0,9.0,4.0
129,Boswil,6.0,7.0,10.0,15.0,23.0,32.0,46.0,64.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
130,Bottenwil,3.0,3.0,4.0,7.0,10.0,14.0,19.0,26.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
131,Bottmingen,12.0,16.0,28.0,42.0,67.0,103.0,160.0,247.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
132,Botyre,,,,,,,,,1.0,,,,,,
133,Boudevilliers,,,,,,,,,2.0,,,,,,
134,Boudry,11.0,10.0,16.0,23.0,44.0,64.0,94.0,138.0,5.0,7.0,2.0,10.0,3.0,15.0,5.0
135,Bougy-Villars,2.0,3.0,6.0,9.0,10.0,15.0,23.0,36.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
136,Bourg-St-Pierre,,,,,,,,,1.0,,,,,,
137,Bourg-en-Lavaux,8.0,13.0,27.0,52.0,78.0,139.0,248.0,441.0,2.0,4.0,2.0,7.0,3.0,12.0,5.0
138,Bovernier,2.0,1.0,1.0,1.0,4.0,6.0,11.0,17.0,1.0,2.0,1.0,4.0,2.0,6.0,2.0
139,Brail,,,,,,,,,1.0,,,,,,
140,Bramois,,,,,,,,,2.0,,,,,,
141,Bregaglia (Castasegna),,,,,,,,,1.0,,,,,,
142,Breganzona,,,,,,,,,1.0,,,,,,
143,Breitenbach,6.0,10.0,13.0,15.0,25.0,36.0,52.0,76.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
144,Bremblens,3.0,4.0,7.0,16.0,24.0,41.0,71.0,122.0,5.0,9.0,4.0,16.0,7.0,27.0,11.0
145,Bremgarten,,,,,,,,,2.0,,,,,,
146,Bretten,,,,,,,,,4.0,,,,,,
147,Bretzwil,0.0,1.0,3.0,2.0,4.0,inf,inf,inf,1.0,inf,inf,,,,
148,Brienz,,,,,,,,,2.0,,,,,,
149,Brig,,,,,,,,,3.0,,,,,,
150,Brig-Glis,18.0,25.0,45.0,50.0,90.0,137.0,209.0,319.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
151,Brione Verzasca,,,,,,,,,1.0,,,,,,
