,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,recomm_2023,recom_2024
607,Fiesch,6,6,7,8,11,13.0,15.0,18.0,1.0,1.0,1.0,1.0
608,Ayent,3,5,10,13,33,62.0,116.0,218.0,1.0,2.0,4.0,8.0
609,Evolène,5,6,11,12,17,24.0,33.0,45.0,2.0,3.0,4.0,5.0
610,Hérémence,1,1,1,2,7,13.0,25.0,46.0,2.0,4.0,8.0,15.0
611,Vex,2,3,7,9,19,34.0,62.0,112.0,1.0,2.0,4.0,7.0
612,Inden,0,0,0,0,0,,,,1.0,,,
613,Leukerbad,4,2,3,5,6,7.0,9.0,11.0,2.0,2.0,3.0,4.0
614,Oberems,0,0,0,0,1,,,,1.0,,,
615,Varen,2,3,6,6,6,8.0,11.0,16.0,1.0,1.0,1.0,1.0
616,Bovernier,2,1,1,1,4,6.0,11.0,17.0,1.0,2.0,4.0,6.0
617,Fully,6,8,15,21,59,109.0,203.0,376.0,2.0,4.0,7.0,13.0
618,Martigny,19,25,42,62,131,216.0,355.0,584.0,17.0,28.0,46.0,76.0
619,Riddes,1,2,7,15,23,53.0,121.0,278.0,2.0,5.0,11.0,25.0
620,Saillon,5,7,7,11,35,63.0,112.0,200.0,5.0,9.0,16.0,29.0
621,Saxon,8,13,16,23,45,70.0,110.0,172.0,2.0,3.0,5.0,8.0
622,Champéry,0,1,2,3,9,inf,inf,inf,2.0,inf,,
623,Collombey-Muraz,10,11,13,26,60,99.0,163.0,268.0,2.0,3.0,5.0,8.0
624,Monthey,12,18,28,52,99,169.0,288.0,490.0,6.0,10.0,17.0,29.0
625,Val-d'Illiez,1,2,5,5,9,16.0,30.0,55.0,2.0,4.0,8.0,15.0
626,Vionnaz,1,4,11,13,23,56.0,135.0,328.0,2.0,5.0,12.0,29.0
627,Bitsch,0,0,2,3,8,,,,1.0,,,
628,Grengiols,2,3,3,3,3,3.0,4.0,4.0,1.0,1.0,1.0,1.0
629,Steg-Hohtenn,12,15,13,10,14,15.0,16.0,17.0,1.0,1.0,1.0,1.0
630,Dorénaz,0,0,1,3,5,,,,1.0,,,
631,Massongex,1,1,1,5,15,38.0,94.0,234.0,1.0,3.0,7.0,17.0
632,Salvan,1,1,1,2,4,6.0,9.0,14.0,1.0,2.0,3.0,5.0
633,Vernayaz,4,4,6,7,11,14.0,19.0,25.0,1.0,1.0,1.0,1.0
634,Chalais,3,4,6,11,28,50.0,91.0,164.0,1.0,2.0,4.0,7.0
635,Grône,1,1,1,3,13,30.0,71.0,165.0,1.0,2.0,5.0,12.0
636,Icogne,0,0,3,4,7,,,,1.0,,,
637,Lens,3,5,7,12,28,50.0,89.0,158.0,1.0,2.0,4.0,7.0
638,Sierre,22,24,38,45,111,176.0,278.0,439.0,8.0,13.0,21.0,33.0
639,Crans-Montana,24,26,39,43,81,113.0,157.0,219.0,10.0,14.0,19.0,27.0
640,Arbaz,4,5,5,8,15,21.0,31.0,44.0,2.0,3.0,4.0,6.0
641,Grimisuat,3,6,13,16,34,64.0,120.0,226.0,1.0,2.0,4.0,8.0
642,Savièse,10,10,19,30,77,136.0,239.0,421.0,2.0,4.0,7.0,12.0
643,Sion,56,81,137,211,362,579.0,925.0,1478.0,25.0,40.0,64.0,102.0
644,Veysonnaz,1,1,1,2,5,8.0,13.0,21.0,2.0,3.0,5.0,8.0
645,Saas-Grund,4,3,4,5,8,10.0,12.0,15.0,1.0,1.0,1.0,1.0
646,Täsch,1,1,1,1,2,2.0,3.0,4.0,1.0,1.0,2.0,3.0
647,Visp,21,25,32,44,82,117.0,167.0,238.0,1.0,1.0,1.0,1.0
648,Visperterminen,0,1,4,4,8,inf,inf,inf,2.0,inf,,
649,Zeneggen,0,1,1,3,5,inf,inf,inf,2.0,inf,,
650,Boudry,11,10,16,23,44,64.0,94.0,138.0,5.0,7.0,10.0,15.0
651,Cortaillod,5,10,18,29,45,78.0,136.0,237.0,3.0,5.0,9.0,16.0
652,La Chaux-de-Fonds,28,35,50,76,138,207.0,312.0,469.0,13.0,20.0,30.0,45.0
653,La Sagne,1,1,1,1,6,14.0,30.0,68.0,2.0,5.0,11.0,25.0
654,Le Locle,6,6,9,16,30,46.0,71.0,109.0,5.0,8.0,12.0,18.0
655,Les Ponts-de-Martel,3,4,4,7,10,14.0,19.0,26.0,1.0,1.0,1.0,1.0
656,Cornaux,0,0,2,1,11,,,,1.0,,,
657,Hauterive,2,1,2,4,8,13.0,21.0,34.0,2.0,3.0,5.0,8.0
658,Le Landeron,1,3,2,13,17,49.0,140.0,401.0,1.0,3.0,9.0,26.0
659,Neuchâtel,47,60,99,148,232,347.0,520.0,779.0,13.0,19.0,28.0,42.0
660,Les Verrières,0,0,0,0,0,,,,1.0,,,
661,Val-de-Travers,3,14,24,41,64,154.0,373.0,899.0,3.0,7.0,17.0,41.0
662,Aire-la-Ville,1,2,2,4,15,33.0,72.0,157.0,3.0,7.0,15.0,33.0
663,Anières,5,8,12,25,35,58.0,95.0,156.0,1.0,2.0,3.0,5.0
664,Avully,1,0,5,6,8,inf,inf,inf,1.0,inf,,
665,Bernex,6,7,16,34,63,117.0,217.0,404.0,5.0,9.0,17.0,32.0
666,Chêne-Bougeries,24,24,46,74,105,156.0,232.0,345.0,1.0,1.0,1.0,1.0
667,Chêne-Bourg,6,7,6,16,30,49.0,81.0,133.0,2.0,3.0,5.0,8.0
668,Collonge-Bellerive,28,33,45,66,105,147.0,206.0,288.0,1.0,1.0,1.0,1.0
669,Cologny,22,23,35,56,88,126.0,181.0,260.0,3.0,4.0,6.0,9.0
670,Genève,175,223,317,481,713,1015.0,1446.0,2058.0,44.0,63.0,90.0,128.0
671,Le Grand-Saconnex,7,8,10,26,50,86.0,149.0,258.0,4.0,7.0,12.0,21.0
672,Lancy,17,26,50,101,159,280.0,493.0,869.0,5.0,9.0,16.0,28.0
673,Meyrin,15,27,31,63,108,181.0,303.0,506.0,8.0,13.0,22.0,37.0
674,Plan-les-Ouates,26,29,45,58,88,120.0,165.0,225.0,2.0,3.0,4.0,5.0
675,Puplinge,1,1,3,4,5,8.0,14.0,22.0,1.0,2.0,4.0,6.0
676,Russin,2,2,3,4,6,8.0,11.0,14.0,1.0,1.0,1.0,1.0
677,Satigny,3,8,13,26,48,98.0,199.0,404.0,2.0,4.0,8.0,16.0
678,Thônex,14,14,27,41,64,96.0,144.0,217.0,5.0,8.0,12.0,18.0
679,Vandoeuvres,13,15,27,40,51,73.0,104.0,148.0,1.0,1.0,1.0,1.0
680,Vernier,34,45,60,90,134,189.0,267.0,377.0,7.0,10.0,14.0,20.0
681,Versoix,13,17,22,32,55,79.0,115.0,166.0,9.0,13.0,19.0,27.0
682,Courrendlin,4,7,7,14,23,37.0,59.0,94.0,1.0,2.0,3.0,5.0
683,Courroux,2,2,4,6,19,36.0,70.0,134.0,1.0,2.0,4.0,8.0
684,Delémont,10,15,23,46,87,151.0,261.0,451.0,10.0,17.0,29.0,50.0
685,Develier,2,2,3,8,20,38.0,73.0,141.0,3.0,6.0,12.0,23.0
686,Montfaucon,1,1,1,3,4,6.0,10.0,16.0,1.0,2.0,3.0,5.0
687,Le Noirmont,0,1,1,3,12,inf,inf,inf,3.0,inf,,
688,Saignelégier,1,2,3,9,14,28.0,57.0,114.0,1.0,2.0,4.0,8.0
689,Porrentruy,7,10,15,29,49,80.0,131.0,215.0,3.0,5.0,8.0,13.0
690,Vendlincourt,0,0,0,0,3,,,,1.0,,,
