,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,recomm_2023,recom_2024
122,Trubschachen,2,3,4,6,9,13.0,19.0,28.0,2.0,3.0,4.0,6.0
123,Heimberg,12,13,20,28,47,67.0,95.0,136.0,1.0,1.0,1.0,1.0
124,Steffisburg,14,20,30,46,76,116.0,178.0,271.0,3.0,5.0,8.0,12.0
125,Thun,58,77,106,154,268,395.0,583.0,859.0,27.0,40.0,59.0,87.0
126,Sumiswald,1,4,7,12,28,69.0,168.0,411.0,2.0,5.0,12.0,29.0
127,Wyssachen,2,3,8,9,13,22.0,37.0,62.0,1.0,2.0,3.0,5.0
128,Niederönz,4,5,5,9,13,18.0,25.0,34.0,2.0,3.0,4.0,5.0
129,Flühli,1,1,1,5,7,15.0,31.0,65.0,2.0,4.0,8.0,17.0
130,Schüpfheim,3,3,5,10,17,27.0,43.0,69.0,2.0,3.0,5.0,8.0
131,Ballwil,3,8,15,24,28,51.0,93.0,171.0,2.0,4.0,7.0,13.0
132,Emmen,29,37,57,71,134,199.0,296.0,441.0,4.0,6.0,9.0,13.0
133,Hochdorf,12,12,22,37,65,102.0,160.0,251.0,3.0,5.0,8.0,13.0
134,Inwil,1,1,3,6,17,38.0,83.0,183.0,3.0,7.0,15.0,33.0
135,Rothenburg,15,21,28,51,78,119.0,180.0,274.0,6.0,9.0,14.0,21.0
136,Schongau,2,2,6,14,22,43.0,86.0,170.0,1.0,2.0,4.0,8.0
137,Buchrain,5,6,10,22,40,69.0,119.0,204.0,13.0,22.0,38.0,65.0
138,Dierikon,5,5,5,9,15,20.0,28.0,38.0,1.0,1.0,1.0,1.0
139,Ebikon,20,28,40,65,103,155.0,235.0,354.0,3.0,5.0,8.0,12.0
140,Horw,33,40,48,70,114,157.0,215.0,296.0,2.0,3.0,4.0,6.0
141,Kriens,22,27,45,88,143,231.0,375.0,606.0,27.0,44.0,71.0,115.0
